id,type,date,text
4,message,2017-04-12T17:31:23,"
; 

Отримувати новини в режимі реального часу (отримувати їх декілька разів на день) – 63
👍👍👍👍👍👍👍 81%

Отримувати підбірку новин раз на день (отримувати підбірку найважливіших новин ввечері кожного дня) – 8
👍 10%

Отримувати підбірку новин один раз на день (отримувати підбірку найважливіших новин зранку кожного дня) – 7
👍 9%

👥 78 people voted so far. "
5,message,2017-04-12T20:24:58,"Всім привіт!

Ловіть першу порцію новин від партії Національний Корпус:

Відео з виступу Лідера Національного Корпусу Андрія Білецького під заблокованим відділенням Сбєрбанку у Харкові:
; 

Національний Корпус почав безстрокову акцію проти Сбєрбанку в центрі Дніпра:
; 

Національний Корпус в Одесі оголосив безстрокову блокаду Сбєрбанку:
; 

Активісти Національного Корпусу активно долучилися до флешмобу 22 Pushup Challenge:
; 

Репортаж телекомпанії ""Жовта Річка"" про презентацію дискусійного клубу та видавництва ""Орієнтир"" у місті Жовті Води:
; 

Львівський осередок Національного Корпусу запрошує на велопробіг в честь бою під Гурбами:
; 

Лідер Національного Корпусу Андрій Білецький в ефірі телеканалу 112-Україна:
"
7,message,2017-04-12T23:01:23,"Надобраніч, побратими!"
8,message,2017-04-13T08:44:14,"Всім доброго ранку!
Бажаємо вам хорошого і продуктивного дня!"
9,message,2017-04-13T18:40:23,"Чергова підбірка наших новин за день. Перегляньте, щоб не пропустити нічого важливого:

Народний депутат України, представник Національного Корпусу Олег Петренко направив звернення до голови правління ПАТ ""Укрзалізниця"". Детальніше за посиланням:
; 

Ідейні працівники Сбєрбанку під час блокади в Дніпрі:
; 

Мелітопольський осередок Національного Корпусу підтримав всеукраїнську кампанію блокування російських банків:
; 

Житомирський осередок Національного Корпусу на захисті водних ресурсів області:
; 

Мітинг ""За цирк без тварин"" у Києві. Детальніше за посиланням:
"
10,message,2017-04-14T14:51:51,"В честь річниці початку Коліївщини Дніпровський осередок Національного Корпусу проведе кінопоказ документальних фільмів під заблокованим Сбєрбанком.

"
11,message,2017-04-14T20:17:41,"Вечірня порція новин від Національного Корпусу.

Лідер Національнонго Корпусу в ефірі каналу 1+1 в передачі ""Право на владу"":
; 

Луганський осередок Національного Корпусу на першій лінії оборони:
; 

Вшанування річниц Коліївщини Житомирським осередком Національного Корпусу:
; 

ВПО ""Авангард"" запрошує на суботнє тренування у місті Києві:
"
12,message,2017-04-15T08:57:01,"Привіт всім!

Друзі, в нас є до вас дуже серйозна справа. Наші медійники створили три заставки для відеороликів Національного Корпусу. Переглянути їх можна за посиланнями нижче.

Перша заставка:

; 

Друга заставка:

; 

Третя заставка:

; 

Отже, який з варіантів вам сподобався більше?
Нижче прикріплене голосування
👇👇👇👇👇"
13,message,2017-04-15T08:57:11,"

Друга заставка – 72
👍👍👍👍👍👍👍 48%

Перша заставка – 57
👍👍👍👍👍👍 38%

Третя заставка – 20
👍👍 13%

👥 149 people voted so far. "
14,message,2017-04-16T14:00:39,"Друзі-побрптими!

Велике прохання прочитати даний запис і відгукнутись на наше прохання!

"
